,Hidden Feature-1,Hidden Feature-2,Type
177,10.939363,-43.590652,Normal
178,10.012608,-44.37131,Normal
179,4.716767,-50.133747,Normal
180,-5.091656,-49.077084,Normal
181,-8.029162,-53.198906,Normal
182,-5.515009,-42.325607,Normal
183,-4.9232607,-36.624275,Normal
184,-3.0412617,-34.179756,Normal
185,-1.678466,-57.70766,Normal
186,-1.5715659,-58.588055,Normal
187,5.9138646,-20.78812,Normal
188,13.0311985,-24.736792,Normal
189,13.532882,-26.395031,Normal
190,11.035161,-35.541107,Normal
191,12.569308,-43.23791,Normal
192,9.32076,-44.228214,Normal
193,4.747245,-50.0881,Normal
194,-5.6750107,-50.04811,Normal
195,-8.550235,-41.800243,Normal
196,-6.2669373,-41.059,Normal
197,-8.519827,-54.088715,Normal
198,-0.5414793,-28.552322,Normal
199,-1.451222,-57.077084,Normal
200,-15.123963,21.277609,Normal
201,-20.268633,20.839453,Normal
202,-14.51424,19.607502,Normal
203,-11.951785,23.128864,Normal
204,-16.009607,21.744392,Normal
205,-20.202713,19.189777,Normal
206,-17.055712,19.772871,Normal
207,-13.70172,21.518906,Normal
208,-14.191607,19.967585,Normal
209,-20.934916,20.906157,Normal
210,-17.613358,22.10367,Normal
211,-13.829388,21.360367,Normal
212,-12.048917,23.843628,Normal
213,-22.088879,20.65012,Normal
214,-21.224066,20.761293,Normal
215,-15.326477,22.410057,Normal
216,-13.505183,21.474598,Normal
217,-16.844238,18.449402,Normal
218,-20.76407,21.605848,Normal
219,-10.907368,22.913877,Normal
220,-10.78945,23.755747,Normal
221,-17.737093,21.908707,Normal
222,-19.981913,19.558563,Normal
223,-13.454399,24.544369,Normal
224,-11.672131,22.58537,Normal
225,-11.272723,20.929928,Normal
226,-20.476782,21.143625,Normal
227,-14.117318,19.051464,Normal
228,-11.530641,23.967987,Normal
229,-13.0421,24.04051,Normal
230,-20.14903,20.597689,Normal
231,-17.63532,18.288837,Normal
232,-14.54466,20.826138,Normal
233,-13.533073,25.066618,Normal
234,-19.677332,19.555649,Normal
235,-16.931362,16.856373,Normal
236,-13.826271,22.408129,Normal
237,-13.091452,25.086449,Normal
238,-18.5837,21.82676,Normal
239,-18.958015,18.363173,Normal
240,-12.621463,22.504946,Normal
241,-11.099861,24.71536,Normal
242,-22.050434,18.146353,Normal
243,-20.149677,21.411892,Normal
244,-13.676386,23.554808,Normal
245,-13.649136,24.989594,Normal
246,-16.638966,22.682106,Normal
247,-19.956861,19.980825,Normal
248,-16.853624,19.342674,Normal
249,-11.987466,21.059357,Normal
250,-20.446459,17.477987,Normal
251,-20.419891,20.062685,Normal
252,-17.18152,21.50697,Normal
253,-14.454921,21.559248,Normal
254,-15.898604,23.017979,Normal
255,-22.097727,20.682755,Normal
256,-17.065668,19.432495,Normal
257,-13.166619,25.247839,Normal
258,-16.76061,21.304586,Normal
259,-20.308435,19.812914,Normal
260,-19.610043,21.634705,Normal
261,-12.697549,23.413904,Normal
262,-15.417589,20.772614,Normal
263,-18.959484,21.00043,Normal
264,-19.24154,18.41329,Normal
265,-17.475674,22.518955,Normal
266,-13.698171,19.969131,Normal
267,-17.326519,19.723219,Normal
268,-19.780062,21.679245,Normal
269,-11.363532,23.812923,Normal
270,-15.112831,21.910805,Normal
271,-16.350449,21.930641,Normal
272,-19.492771,18.640526,Normal
273,-11.705712,20.76264,Normal
274,-12.795642,24.99342,Normal
275,-11.77933,20.874222,Normal
276,-20.26631,20.643763,Normal
277,-13.031185,20.260473,Normal
278,-11.957081,22.572258,Normal
279,-14.931325,21.340778,Normal
280,-20.16664,21.93854,Normal
281,-16.9426,20.607277,Normal
282,-12.99675,22.18246,Normal
283,-15.598481,23.650036,Normal
284,-18.393326,19.65978,Normal
285,-17.38622,21.51711,Normal
286,-12.415443,23.544216,Normal
287,-11.173602,23.000757,Normal
288,-19.81888,20.7121,Normal
289,-18.697283,18.385868,Normal
290,-14.400901,22.583527,Normal
291,-13.4764385,25.139944,Normal
292,-21.962257,18.204529,Normal
293,-20.170326,19.49863,Normal
294,-12.621094,20.888016,Normal
295,-11.929147,23.49907,Normal
296,-16.553852,22.190464,Normal
297,-19.731066,18.867624,Normal
298,-17.49802,18.00935,Normal
299,-14.112776,22.20395,Normal
300,12.556958,-47.655907,Normal
301,9.535761,-49.995758,Normal
302,15.977928,-53.15033,Normal
303,14.432245,-55.834522,Normal
304,23.272743,-11.488182,Normal
305,28.21448,-1.9165566,Normal
306,11.594196,-65.96875,Normal
307,28.40833,-2.8306406,Normal
308,11.861419,-66.24386,Normal
309,11.229259,-65.861084,Normal
310,11.601959,-66.08429,Normal
311,10.87144,-60.136898,Normal
312,11.149419,-58.94657,Normal
313,11.080277,-58.543224,Normal
314,11.089833,-57.467037,Normal
315,11.170676,-58.586697,Normal
316,13.336225,-60.12076,Normal
317,13.79259,-60.39992,Normal
318,13.765607,-60.41221,Normal
319,13.845621,-60.528408,Normal
320,14.511751,-64.35592,Normal
321,13.686387,-62.373795,Normal
322,10.53979,-64.30968,Normal
323,24.375216,-46.676594,Normal
324,9.985052,-63.50962,Normal
325,4.9542527,-64.98527,Normal
326,6.22666,-64.9789,Normal
327,5.527903,-64.8802,Normal
328,31.844507,-4.041234,Normal
329,19.513206,-61.477303,Normal
330,38.961243,0.89632815,Normal
331,38.908066,0.906918,Normal
332,39.77606,0.3598846,Normal
333,38.582474,-36.73317,Normal
334,38.83787,-18.161842,Normal
335,34.71559,-20.674519,Normal
336,38.4207,-13.848031,Normal
337,38.762947,-23.937277,Normal
338,36.66275,-17.120518,Normal
339,35.093323,-9.310319,Normal
340,36.32961,-13.730728,Normal
341,35.26823,-12.443385,Normal
342,36.79219,-16.96951,Normal
343,36.322166,-17.309351,Normal
344,35.8748,-15.042851,Normal
345,33.346977,-14.135588,Normal
346,33.50765,-14.537395,Normal
347,33.561275,-14.662686,Normal
348,34.451702,-19.097176,Normal
349,32.995975,-12.175031,Normal
350,35.014374,-19.939955,Normal
351,34.457554,-18.74402,Normal
352,33.55976,-12.531313,Normal
353,21.742435,-37.3408,Normal
354,31.058899,-40.01064,Normal
355,31.117235,-39.983303,Normal
356,-22.889542,-36.63284,Normal
357,-23.371605,-36.614788,Normal
358,29.2283,-20.842422,Normal
359,-21.863647,-36.146843,Normal
360,-22.317831,-35.79685,Normal
361,-21.943487,-34.81012,Normal
362,-20.827208,-33.020893,Normal
363,0.98140484,-21.377113,Normal
364,6.3531613,-17.326473,Normal
365,16.584343,-17.554947,Normal
366,18.318697,-19.393967,Normal
367,13.7249565,-33.706985,Normal
368,24.60918,-3.6578035,Normal
369,14.180129,-0.76399785,Normal
370,5.164817,-49.349113,Normal
371,21.412062,0.0571558,Normal
372,14.798756,-4.5850625,Normal
373,-4.484622,-42.561756,Normal
374,-3.1594872,-32.88578,Normal
375,-3.1251957,-32.536633,Normal
376,28.041267,-31.196499,Normal
377,27.67699,-27.484858,Normal
378,27.923437,-28.385624,Normal
379,23.115108,-27.392857,Normal
380,22.04858,-28.545874,Normal
381,21.69429,-36.4108,Normal
382,32.2161,-39.15776,Normal
383,30.592863,-40.642452,Normal
384,18.648169,-49.297382,Normal
385,-11.519684,-45.106106,Normal
386,-13.028457,-41.36098,Normal
387,-15.309454,-35.282166,Normal
388,-16.916328,-34.435005,Normal
389,-18.443378,-33.14127,Normal
390,-18.86143,-33.047726,Normal
391,-2.1573122,-18.44426,Normal
392,-0.6754988,-17.474905,Normal
393,15.759191,-17.522642,Normal
394,15.181104,-17.238459,Normal
395,-26.777975,-46.510147,Normal
396,7.0720835,-56.02471,Normal
397,7.2766,-56.552143,Normal
398,7.346793,-56.719986,Normal
399,7.8529854,-57.660225,Normal
400,-9.499533,21.279535,Normal
401,-13.303108,16.608252,Normal
402,-10.893722,16.226091,Normal
403,-10.982521,21.93028,Normal
404,-8.161305,18.127281,Normal
405,-13.724107,17.526955,Normal
406,-14.883752,14.4422865,Normal
407,-7.5956416,19.81046,Normal
408,-11.850832,18.388699,Normal
409,-12.617625,17.262566,Normal
410,-14.902544,14.064787,Normal
411,-6.0014625,18.90028,Normal
412,-10.363373,17.24602,Normal
413,-10.233392,18.029867,Normal
414,-13.508901,11.671037,Normal
415,-11.650959,16.073452,Normal
416,-8.194056,18.3019,Normal
417,-9.03385,20.146725,Normal
418,-13.341502,14.90097,Normal
419,-11.112324,15.757531,Normal
420,-8.459145,19.196339,Normal
421,-7.4915876,19.572218,Normal
422,-14.380249,14.456787,Normal
423,-12.669549,15.507663,Normal
424,-11.827521,19.186079,Normal
425,-5.3670745,21.981007,Normal
426,-13.176716,16.146877,Normal
427,-13.328956,15.467094,Normal
428,-5.9849267,18.963425,Normal
429,-9.4419985,19.730148,Normal
430,-10.787951,18.850233,Normal
431,-13.652871,11.493533,Normal
432,-9.446498,19.059849,Normal
433,-8.676117,24.341368,Normal
434,-11.941733,17.1798,Normal
435,-15.191753,13.690725,Normal
436,-14.016442,17.564009,Normal
437,-10.626735,17.081797,Normal
438,-11.067525,16.331028,Normal
439,-15.04464,15.91654,Normal
440,-9.0355,21.096443,Normal
441,-12.201122,17.812445,Normal
442,-9.234703,20.344925,Normal
443,-13.5159645,15.483131,Normal
444,-14.599495,15.071378,Normal
445,-7.416148,18.601885,Normal
446,-8.714198,20.436785,Normal
447,-15.8969965,16.918215,Normal
448,-13.604754,16.019,Normal
449,-10.734302,18.495764,Normal
450,-9.84433,16.93712,Normal
451,-13.652574,16.142673,Normal
452,-13.8763,16.67292,Normal
453,-10.208497,18.323503,Normal
454,-10.6865225,16.63724,Normal
455,-12.948804,16.11527,Normal
456,-14.21039,15.245788,Normal
457,-10.115204,17.109146,Normal
458,-14.849028,17.124306,Normal
459,-12.061696,16.619001,Normal
460,-14.795429,14.20888,Normal
461,-11.88844,16.676271,Normal
462,-11.981597,17.187672,Normal
463,-5.3685513,21.977072,Normal
464,-14.939921,15.48412,Normal
465,-10.097491,17.144377,Normal
466,-11.225177,19.514889,Normal
467,-11.850207,17.15673,Normal
468,-14.744266,14.368545,Normal
469,-13.816766,15.042398,Normal
470,-9.420253,17.869902,Normal
471,-7.0426407,18.193407,Normal
472,-15.017502,16.251991,Normal
473,-12.658534,16.860958,Normal
474,-10.068944,20.449791,Normal
475,-9.173718,22.046806,Normal
476,-15.970188,14.706688,Normal
477,-15.07302,15.394012,Normal
478,-12.432182,18.753204,Normal
479,-9.24063,17.902826,Normal
480,-10.098093,18.63629,Normal
481,-16.53007,16.005993,Normal
482,-8.463343,20.748766,Normal
483,-13.065186,18.63765,Normal
484,-11.34967,18.365307,Normal
485,-15.716377,14.832276,Normal
486,-14.810567,18.058825,Normal
487,-10.743258,17.520834,Normal
488,-15.147826,17.219543,Normal
489,-17.32826,16.013111,Normal
490,-11.931205,16.209616,Normal
491,-11.088254,17.763376,Normal
492,-9.645153,19.049484,Normal
493,-13.53928,16.07892,Normal
494,-14.846102,18.106058,Normal
495,-10.4301815,19.680288,Normal
496,-10.2331295,19.672104,Normal
497,-15.512158,16.326574,Normal
498,-16.173265,15.812634,Normal
499,-13.173348,19.27286,Normal
500,4.617885,-46.089115,Normal
501,14.254903,-1.4182211,Normal
502,-6.7337866,-42.37237,Normal
503,-6.604112,-42.390484,Normal
504,-1.1159607,-34.164867,Normal
505,26.0118,-32.301426,Normal
506,25.799978,-29.032488,Normal
507,27.274687,-1.6442941,Normal
508,23.279823,-25.403887,Normal
509,21.967424,-25.388762,Normal
510,20.44021,-33.8666,Normal
511,30.112814,-3.5869107,Normal
512,19.629942,-45.129856,Normal
513,19.792593,-45.08358,Normal
514,4.069675,-43.815273,Normal
515,-2.8277504,-47.13219,Normal
516,28.823397,-5.6986957,Normal
517,21.170523,0.10589301,Normal
518,11.651195,-0.10327681,Normal
519,-3.447087,-25.398512,Normal
520,3.9808164,-15.795344,Normal
