,Hidden Feature-1,Hidden Feature-2,Type
177,-44.315266,8.888012,Normal
178,-19.452042,-39.315052,Normal
179,-20.316248,-41.89002,Normal
180,-27.179886,-45.70225,Normal
181,-37.48087,-40.754135,Normal
182,-47.06792,-35.22885,Normal
183,-48.253216,-30.60394,Normal
184,-45.22932,-26.512094,Normal
185,-39.729618,-19.845463,Normal
186,-33.33946,-17.321297,Normal
187,-29.771479,-14.875238,Normal
188,-20.201044,-15.584025,Normal
189,-18.09046,-19.183794,Normal
190,-18.236977,-19.119663,Normal
191,-14.419763,-24.658674,Normal
192,-20.018438,-37.13413,Normal
193,-22.31229,-41.273594,Normal
194,-28.745066,-43.734787,Normal
195,-36.481335,-42.415745,Normal
196,-46.530327,-34.683506,Normal
197,-50.66515,-28.529573,Normal
198,-45.9227,-26.418741,Normal
199,-40.063747,-19.508043,Normal
200,-22.63968,-16.576153,Normal
201,-20.605438,-17.101978,Normal
202,-12.591547,-21.913134,Normal
203,-14.938092,-23.673306,Normal
204,-20.18313,-38.02476,Normal
205,-23.846062,-42.767067,Normal
206,-26.769258,-42.272823,Normal
207,-38.150158,-41.585407,Normal
208,-48.53844,-35.842995,Normal
209,-48.864353,-27.405392,Normal
210,-47.397373,-25.574331,Normal
211,-38.627834,-18.997536,Normal
212,-35.21236,-15.313832,Normal
213,-29.659306,-12.718513,Normal
214,-19.23434,-13.08897,Normal
215,-33.745922,-5.803084,Normal
216,-12.4555645,-21.928469,Normal
217,-12.157662,-22.82959,Normal
218,-18.938263,-36.908497,Normal
219,-24.31994,-42.384293,Normal
220,-26.521488,-42.33664,Normal
221,-38.106888,-41.011497,Normal
222,-48.584198,-33.50856,Normal
223,-50.48568,-28.982103,Normal
224,-46.11433,-26.170406,Normal
225,-39.944748,-18.238989,Normal
226,-32.64263,-17.240448,Normal
227,-29.512083,-14.673141,Normal
228,-20.16294,-16.280918,Normal
229,-17.257793,-16.765072,Normal
230,-12.905217,-23.11767,Normal
231,-12.278694,-25.333496,Normal
232,-21.423159,-40.32892,Normal
233,-24.064009,-42.74084,Normal
234,-26.624819,-43.848927,Normal
235,-38.26332,-42.912533,Normal
236,-48.283394,-35.535763,Normal
237,-50.266308,-29.878546,Normal
238,-47.08505,-25.70994,Normal
239,-40.34732,-18.397924,Normal
240,-35.476406,-15.262683,Normal
241,-36.013496,-6.646463,Normal
242,-20.522354,-16.055006,Normal
243,-50.9851,-1.1065243,Normal
244,-12.28153,-20.47421,Normal
245,-19.271954,-36.051884,Normal
246,-47.980328,12.962372,Normal
247,-25.113018,-43.680145,Normal
248,-50.70247,-4.4230523,Normal
249,-36.770462,-43.735916,Normal
250,-48.329628,-35.756664,Normal
251,-47.618862,10.300454,Normal
252,-47.141712,-25.81744,Normal
253,-46.80052,24.94462,Normal
254,-46.76098,-4.0272083,Normal
255,-48.081993,-25.651052,Normal
256,-45.89939,16.242035,Normal
257,-33.98602,-15.006964,Normal
258,-42.93939,5.095918,Normal
259,-45.18554,21.626062,Normal
260,-20.940722,-19.480595,Normal
261,-43.495033,24.031311,Normal
262,-19.464012,-39.409153,Normal
263,-51.399094,2.852666,Normal
264,-43.638824,-2.5337362,Normal
265,-35.421394,-41.541855,Normal
266,-38.182426,-40.481403,Normal
267,-48.65061,-32.453743,Normal
268,-49.446808,-29.735573,Normal
269,-47.382286,-26.086487,Normal
270,-40.197544,-17.493517,Normal
271,-33.58752,-14.7230215,Normal
272,-28.525274,-13.990029,Normal
273,-22.130466,-15.009544,Normal
274,-17.63215,-15.702956,Normal
275,-12.145741,-22.399666,Normal
276,-19.668535,-38.648586,Normal
277,-25.631569,-45.006382,Normal
278,-26.491186,-44.093605,Normal
279,-37.65381,-40.28057,Normal
280,-47.751152,-33.80139,Normal
281,-49.286488,-31.608812,Normal
282,-49.29168,-29.69249,Normal
283,-46.181694,-23.426277,Normal
284,-45.892975,16.239573,Normal
285,-33.940517,-15.173026,Normal
286,-43.64108,4.181251,Normal
287,-24.621473,-15.237178,Normal
288,-20.260433,-19.214622,Normal
289,-9.603433,-23.528976,Normal
290,-44.36847,-2.2575245,Normal
291,-21.202864,-42.733997,Normal
292,-51.280834,2.9130251,Normal
293,-37.494015,-39.9135,Normal
294,-47.800648,-32.435505,Normal
295,-45.805984,15.259661,Normal
296,-47.54663,-26.894274,Normal
297,-45.699123,1.1607342,Normal
298,-46.491795,17.872978,Normal
299,-33.82294,-14.968646,Normal
300,-25.209465,-18.299643,Normal
301,-22.353737,-18.947155,Normal
302,-43.477978,24.057768,Normal
303,-55.333073,2.0888274,Normal
304,-21.461561,-43.76092,Normal
305,-27.139896,-39.478256,Normal
306,-34.11452,-40.882576,Normal
307,-52.990234,-18.557962,Normal
308,-45.207157,-35.17278,Normal
309,-48.108383,9.970161,Normal
310,-50.01444,-24.90883,Normal
311,-41.8099,-10.7553005,Normal
312,-36.538513,-4.8497977,Normal
313,-29.001747,-17.441036,Normal
314,-46.723137,5.5938253,Normal
315,-26.933424,-19.286484,Normal
316,-10.124385,-21.949116,Normal
317,-52.54909,13.956038,Normal
318,-22.927988,-43.614014,Normal
319,-52.703514,-2.950677,Normal
320,-44.26579,-5.6972075,Normal
321,-40.41983,-39.198517,Normal
322,-51.63099,10.001262,Normal
323,-55.64854,10.938123,Normal
324,-48.428104,-25.076288,Normal
325,-58.97154,11.298542,Normal
326,-34.424423,-13.289904,Normal
327,-44.562412,5.4208,Normal
328,-54.54995,17.133278,Normal
329,-31.557505,-7.616766,Normal
330,-9.938404,-22.121506,Normal
331,-41.26125,-3.8960843,Normal
332,-23.114819,-44.599545,Normal
333,-27.392883,-40.4149,Normal
334,-52.788036,16.013426,Normal
335,-46.95042,-36.715206,Normal
336,-59.41541,10.729696,Normal
337,-55.75749,-27.532665,Normal
338,-59.851353,12.473428,Normal
339,-54.814205,15.021975,Normal
340,-43.87901,5.538541,Normal
341,-58.665302,11.654423,Normal
342,-54.84842,16.995396,Normal
343,-59.701195,12.409224,Normal
344,-59.842278,12.308148,Normal
345,-42.253548,11.86207,Normal
346,-22.359983,-44.138718,Normal
347,-52.496193,-2.5716996,Normal
348,-44.34205,-6.4282537,Normal
349,-46.142662,-35.121056,Normal
350,-53.75259,-30.849922,Normal
351,-59.345085,12.914849,Normal
352,-58.860035,11.097859,Normal
353,-59.381527,10.910487,Normal
354,-58.51747,11.506663,Normal
355,-36.474865,-6.6879225,Normal
356,-24.302155,-18.389421,Normal
357,-22.49188,-19.7169,Normal
358,-11.940273,-23.75198,Normal
359,-21.439592,-36.719204,Normal
